学号,风险分,行为偏移量,画像分类,归因结论
200307700011,0.996,-0.061,自律,综合偏差
pjvyzvfj974,1.0,0.078,自律,综合偏差
pjvyzvfj977,0.93,-0.048,自律,综合偏差
pjvyzvfj989,0.93,0.007,自律,综合偏差
pjvyzvfj994,1.0,0.118,自律,行为轨迹发生显著漂移
pjvyzvfj998,1.0,-0.057,自律,综合偏差
pjvyzxbj993,0.964,-0.118,自律,综合偏差
pjvyzxbj995,0.959,-0.038,自律,综合偏差
pjvyzxbj997,0.967,0.006,自律,综合偏差
pjvyzxbj998,0.954,-0.034,自律,综合偏差
pjwqzwbj998,1.0,0.045,自律,综合偏差
pjwrqxbj882,1.0,0.141,自律,行为轨迹发生显著漂移
pjwrqxbj884,1.0,0.088,自律,综合偏差
pjwrqxbj890,1.0,0.066,自律,综合偏差
pjwrqxbj898,0.937,-0.057,自律,综合偏差
pjwrqxbj901,0.991,0.028,自律,综合偏差
pjwrqxbj905,0.935,-0.15,自律,综合偏差
pjwrqxbj911,0.945,-0.031,自律,综合偏差
pjwrqxbj913,0.935,-0.102,自律,综合偏差
pjwrqxbj916,1.0,0.106,自律,行为轨迹发生显著漂移
pjwrqxbj918,1.0,0.151,自律,行为轨迹发生显著漂移
pjwrqxbj919,1.0,0.066,自律,综合偏差
pjwrqxbj920,1.0,0.141,自律,行为轨迹发生显著漂移
pjwrqxbj923,0.943,-0.027,自律,综合偏差
pjwrqxbj924,0.936,-0.07,自律,综合偏差
pjwrqxbj925,0.936,-0.084,自律,综合偏差
pjwrqxbj926,1.0,0.059,自律,综合偏差
pjwrqxbj929,1.0,0.074,自律,综合偏差
pjwrqxbj932,0.954,0.028,自律,综合偏差
pjwrqxbj935,0.886,-0.098,自律,综合偏差
pjwrqxbj938,0.955,0.032,自律,综合偏差
pjwrqxbj944,0.891,-0.098,自律,综合偏差
pjwrqxbj945,0.888,-0.116,自律,综合偏差
pjwrqxbj948,0.887,-0.021,自律,综合偏差
pjwrqxbj949,0.888,-0.048,自律,综合偏差
pjwrqxbj951,1.0,0.113,自律,行为轨迹发生显著漂移
pjwrqxbj952,0.882,-0.013,自律,综合偏差
pjwrqxbj955,1.0,0.059,自律,综合偏差
pjwrqxbj956,1.0,0.091,自律,综合偏差
pjwrqxbj965,0.895,-0.097,自律,综合偏差
pjwrqxbj967,0.895,-0.064,自律,综合偏差
pjwrqxbj973,0.915,-0.126,自律,综合偏差
pjwrqxbj974,1.0,0.081,自律,综合偏差
pjwrqxbj977,1.0,0.103,自律,行为轨迹发生显著漂移
pjwrqxbj978,0.888,-0.0,自律,综合偏差
pjwrqxbj979,0.898,-0.006,自律,综合偏差
pjwrqxbj980,0.897,-0.127,自律,综合偏差
pjwrqxbj983,0.898,-0.037,自律,综合偏差
pjwrqxbj984,0.892,-0.064,自律,综合偏差
pjwrqxbj985,1.0,0.148,自律,行为轨迹发生显著漂移
pjwrqxbj988,0.896,-0.032,自律,综合偏差
pjwrqxbj991,0.895,-0.147,自律,综合偏差
pjwrqxbj992,0.892,-0.078,自律,综合偏差
pjwrqxbj993,0.937,0.024,自律,综合偏差
pjwrqxbj994,0.883,-0.063,自律,综合偏差
pjwrqxbj998,1.0,0.069,自律,综合偏差
pjwrzxbj996,0.878,-0.075,自律,综合偏差
pjwtqxbj913,1.0,0.056,自律,综合偏差
pjwtqxbj914,0.931,-0.078,自律,综合偏差
pjwtqxbj918,0.875,-0.052,自律,综合偏差
pjwtqxbj920,0.883,-0.064,自律,综合偏差
pjwtqxbj921,0.975,0.044,自律,综合偏差
pjwtqxbj922,1.0,0.101,自律,行为轨迹发生显著漂移
pjwtqxbj925,0.886,-0.108,自律,综合偏差
pjwtqxbj928,0.882,-0.133,自律,综合偏差
pjwtqxbj929,0.885,-0.011,自律,综合偏差
pjwtqxbj930,0.975,0.049,自律,综合偏差
pjwtqxbj931,0.885,-0.073,自律,综合偏差
pjwtqxbj932,0.858,0.052,自律,综合偏差
pjwtqxbj933,0.932,0.023,自律,综合偏差
pjwtqxbj935,0.886,-0.107,自律,综合偏差
pjwtqxbj939,0.894,0.067,自律,综合偏差
pjwtqxbj941,0.934,-0.045,自律,综合偏差
pjwtqxbj942,1.0,0.107,自律,行为轨迹发生显著漂移
pjwtqxbj943,1.0,0.118,自律,行为轨迹发生显著漂移
pjwtqxbj944,0.851,-0.059,自律,综合偏差
pjwtqxbj946,0.967,0.02,自律,综合偏差
pjwtqxbj947,0.986,0.099,自律,综合偏差
pjwtqxbj950,0.95,0.076,自律,综合偏差
pjwtqxbj952,0.855,0.006,自律,综合偏差
pjwtqxbj953,1.0,0.115,自律,行为轨迹发生显著漂移
pjwtqxbj954,0.821,-0.046,稳健,综合偏差
pjwtqxbj957,0.852,-0.006,自律,综合偏差
pjwtqxbj960,0.835,0.019,自律,综合偏差
pjwtqxbj965,0.932,-0.031,自律,综合偏差
pjwtqxbj967,0.848,-0.082,自律,综合偏差
pjwtqxbj968,0.917,0.038,自律,综合偏差
pjwtqxbj969,0.946,0.011,自律,综合偏差
pjwtqxbj971,1.0,0.096,自律,综合偏差
pjwtqxbj972,0.925,-0.051,自律,综合偏差
pjwtqxbj974,0.855,-0.111,自律,综合偏差
pjwtqxbj977,0.961,0.059,自律,综合偏差
pjwtqxbj979,1.0,0.095,自律,综合偏差
pjwtqxbj982,0.825,-0.13,自律,综合偏差
pjwtqxbj983,0.835,-0.006,自律,综合偏差
pjwtqxbj984,1.0,0.112,自律,行为轨迹发生显著漂移
pjwtqxbj985,0.833,-0.108,自律,综合偏差
pjwtqxbj987,0.909,0.037,自律,综合偏差
pjwtqxbj988,0.831,-0.137,自律,综合偏差
pjwtqxbj993,0.871,0.017,自律,综合偏差
pjwtqxbj998,0.837,-0.059,自律,综合偏差
pjwtzxbj996,0.985,0.112,自律,行为轨迹发生显著漂移
pjwuzxbj992,0.922,-0.044,自律,综合偏差
pjwuzxbj995,0.857,0.052,自律,综合偏差
pjxpqxbj911,1.0,0.098,自律,综合偏差
pjxpqxbj912,0.833,-0.044,自律,综合偏差
pjxpqxbj914,0.831,-0.051,自律,综合偏差
pjxpqxbj915,0.919,-0.145,自律,综合偏差
pjxpqxbj916,0.923,-0.095,自律,综合偏差
pjxpqxbj919,1.0,0.109,自律,行为轨迹发生显著漂移
pjxpqxbj920,0.805,-0.124,自律,综合偏差
pjxpqxbj924,1.0,0.109,自律,行为轨迹发生显著漂移
pjxpqxbj925,0.969,0.088,自律,综合偏差
pjxpqxbj926,1.0,0.089,自律,综合偏差
pjxpqxbj927,0.875,0.017,自律,综合偏差
pjxpqxbj933,0.928,-0.068,自律,综合偏差
pjxpqxbj934,0.966,0.057,自律,综合偏差
pjxpqxbj937,0.926,-0.051,自律,综合偏差
pjxpqxbj941,1.0,0.084,自律,综合偏差
pjxpqxbj944,0.927,-0.113,自律,综合偏差
pjxpqxbj945,0.928,-0.016,自律,综合偏差
pjxpqxbj954,0.844,-0.089,自律,综合偏差
pjxpqxbj955,1.0,0.071,自律,综合偏差
pjxpqxbj956,0.853,-0.025,自律,综合偏差
pjxpqxbj957,0.837,0.023,自律,综合偏差
pjxpqxbj962,0.986,0.079,自律,综合偏差
pjxpqxbj963,0.841,-0.006,自律,综合偏差
pjxpqxbj967,0.96,0.019,自律,综合偏差
pjxpqxbj969,1.0,0.109,自律,行为轨迹发生显著漂移
pjxpqxbj972,0.99,0.038,自律,综合偏差
pjxpqxbj973,1.0,0.102,自律,行为轨迹发生显著漂移
pjxpqxbj975,0.931,0.044,稳健,综合偏差
pjxpqxbj976,0.963,0.05,自律,综合偏差
pjxpqxbj977,0.937,-0.153,自律,综合偏差
pjxpqxbj978,0.881,-0.11,自律,综合偏差
pjxpqxbj979,0.938,0.001,自律,综合偏差
pjxpqxbj981,0.95,0.042,自律,综合偏差
pjxpqxbj985,0.865,-0.122,自律,综合偏差
pjxpqxbj987,0.881,-0.006,自律,综合偏差
pjxpqxbj992,0.896,-0.077,自律,综合偏差
pjxpqxbj994,0.945,-0.082,自律,综合偏差
pjxpqxbj997,0.953,-0.056,自律,综合偏差
pjxqqxbj947,1.0,0.134,自律,行为轨迹发生显著漂移
pjxqqxbj949,0.946,-0.038,自律,综合偏差
pjxqqxbj951,0.918,-0.021,自律,综合偏差
pjxqqxbj954,0.915,-0.033,自律,综合偏差
pjxqqxbj957,0.939,-0.13,自律,综合偏差
pjxqqxbj959,0.945,-0.154,自律,综合偏差
pjxqqxbj961,1.0,0.086,自律,综合偏差
pjxqqxbj964,1.0,0.058,自律,综合偏差
pjxqqxbj967,1.0,0.132,自律,行为轨迹发生显著漂移
pjxqqxbj969,1.0,0.094,稳健,综合偏差
pjxqqxbj970,0.92,-0.022,自律,综合偏差
pjxqqxbj973,0.915,-0.012,自律,综合偏差
pjxqqxbj974,0.943,-0.037,自律,综合偏差
pjxqqxbj975,0.962,0.024,自律,综合偏差
pjxqqxbj979,0.823,0.088,规范,综合偏差
pjxqqxbj982,0.928,-0.078,自律,综合偏差
pjxqqxbj985,1.0,0.036,自律,综合偏差
pjxqqxbj991,1.0,0.091,稳健,综合偏差
pjxqzxbj971,0.928,-0.128,自律,综合偏差
pjxqzxbj975,0.939,-0.096,自律,综合偏差
pjxqzxbj979,0.919,-0.062,自律,综合偏差
pjxqzxbj980,0.921,-0.104,自律,综合偏差
pjxqzxbj982,0.947,-0.11,自律,综合偏差
pjxqzxbj983,0.947,-0.15,自律,综合偏差
pjxqzxbj984,1.0,0.144,自律,行为轨迹发生显著漂移
pjxqzxbj985,0.941,-0.064,自律,综合偏差
pjxqzxbj989,0.917,-0.114,自律,综合偏差
pjxqzxbj994,1.0,0.082,稳健,综合偏差
pjxqzxbj995,0.916,-0.14,自律,综合偏差
pjxqzxbj996,0.939,-0.117,自律,综合偏差
pjxrqxbj891,0.948,0.029,稳健,综合偏差
pjxrqxbj892,0.939,-0.01,自律,综合偏差
pjxrqxbj894,0.913,-0.051,自律,综合偏差
pjxrqxbj898,0.899,-0.018,稳健,综合偏差
pjxrqxbj901,0.894,-0.07,稳健,综合偏差
pjxrqxbj903,1.0,0.08,自律,综合偏差
pjxrqxbj905,0.933,-0.142,自律,综合偏差
pjxrqxbj914,0.928,-0.016,自律,综合偏差
pjxrqxbj918,0.828,-0.102,稳健,综合偏差
pjxrqxbj919,0.832,-0.12,稳健,综合偏差
pjxrqxbj930,0.887,0.023,稳健,综合偏差
pjxrqxbj937,0.83,-0.03,稳健,综合偏差
pjxrqxbj943,1.0,0.117,自律,行为轨迹发生显著漂移
pjxrqxbj947,0.923,-0.11,自律,综合偏差
pjxrqxbj951,0.918,-0.089,自律,综合偏差
pjxrqxbj952,0.918,-0.108,自律,综合偏差
pjxrqxbj954,0.925,-0.077,自律,综合偏差
pjxrqxbj955,0.939,-0.131,自律,综合偏差
pjxrqxbj957,0.939,-0.058,自律,综合偏差
pjxrqxbj958,0.92,-0.035,自律,综合偏差
pjxrqxbj961,0.919,-0.07,自律,综合偏差
pjxrqxbj962,1.0,0.148,自律,行为轨迹发生显著漂移
pjxrqxbj963,0.943,-0.141,自律,综合偏差
pjxrqxbj969,0.994,0.035,自律,综合偏差
pjxrqxbj971,0.921,-0.087,自律,综合偏差
pjxrqxbj972,1.0,0.111,自律,行为轨迹发生显著漂移
pjxrqxbj973,0.94,-0.093,自律,综合偏差
pjxrqxbj978,0.917,-0.083,自律,综合偏差
pjxrqxbj981,0.955,-0.031,自律,综合偏差
pjxrqxbj983,0.934,-0.114,自律,综合偏差
pjxrqxbj988,1.0,0.085,自律,综合偏差
pjxrqxbj990,0.941,-0.011,自律,综合偏差
pjxrqxbj996,1.0,0.152,自律,行为轨迹发生显著漂移
pjxsqxbj758,0.863,0.093,规范,综合偏差
pjxsqxbj760,0.897,0.108,规范,行为轨迹发生显著漂移
pjxsqxbj771,1.0,0.136,自律,行为轨迹发生显著漂移
pjxsqxbj778,0.807,0.099,规范,综合偏差
pjxsqxbj780,0.955,-0.153,自律,综合偏差
pjxsqxbj784,0.951,-0.086,自律,综合偏差
pjxsqxbj786,0.936,-0.027,自律,综合偏差
pjxsqxbj787,1.0,0.061,自律,综合偏差
pjxsqxbj788,1.0,0.06,自律,综合偏差
pjxsqxbj789,0.956,-0.02,自律,综合偏差
pjxsqxbj790,1.0,0.072,自律,综合偏差
pjxsqxbj792,0.976,-0.062,自律,综合偏差
pjxsqxbj796,1.0,0.147,自律,行为轨迹发生显著漂移
pjxsqxbj800,1.0,0.149,自律,行为轨迹发生显著漂移
pjxsqxbj801,1.0,0.137,自律,行为轨迹发生显著漂移
pjxsqxbj807,0.935,-0.106,自律,综合偏差
pjxsqxbj808,0.961,-0.015,自律,综合偏差
pjxsqxbj809,1.0,0.058,自律,综合偏差
pjxsqxbj810,0.927,-0.112,自律,综合偏差
pjxsqxbj811,0.915,-0.119,稳健,综合偏差
pjxsqxbj812,0.956,-0.046,自律,综合偏差
pjxsqxbj815,1.0,0.083,稳健,综合偏差
pjxsqxbj816,0.842,-0.062,稳健,综合偏差
pjxsqxbj823,0.843,-0.003,稳健,综合偏差
pjxsqxbj824,0.836,-0.048,稳健,综合偏差
pjxsqxbj827,1.0,0.131,稳健,行为轨迹发生显著漂移
pjxsqxbj829,0.93,-0.116,自律,综合偏差
pjxsqxbj834,1.0,0.155,自律,行为轨迹发生显著漂移
pjxsqxbj843,0.867,0.094,规范,综合偏差
pjxsqxbj851,0.895,-0.013,稳健,综合偏差
pjxsqxbj856,0.943,0.007,自律,综合偏差
pjxsqxbj857,1.0,0.132,自律,行为轨迹发生显著漂移
pjxsqxbj859,0.929,-0.003,自律,综合偏差
pjxsqxbj862,1.0,0.069,自律,综合偏差
pjxsqxbj863,0.93,-0.1,自律,综合偏差
pjxsqxbj864,1.0,0.151,自律,行为轨迹发生显著漂移
pjxsqxbj867,1.0,0.063,稳健,综合偏差
pjxsqxbj871,1.0,0.046,稳健,综合偏差
pjxsqxbj872,0.91,-0.032,稳健,综合偏差
pjxsqxbj873,0.951,-0.062,自律,综合偏差
pjxsqxbj874,0.951,-0.018,自律,综合偏差
pjxsqxbj876,0.945,-0.064,自律,综合偏差
pjxsqxbj877,0.955,-0.134,自律,综合偏差
pjxsqxbj880,0.922,-0.079,自律,综合偏差
pjxsqxbj881,1.0,0.12,自律,行为轨迹发生显著漂移
pjxsqxbj882,1.0,0.103,自律,行为轨迹发生显著漂移
pjxsqxbj893,0.887,0.1,规范,综合偏差
pjxsqxbj897,0.901,0.095,规范,综合偏差
pjxsqxbj900,0.821,0.067,规范,综合偏差
pjxsqxbj905,0.93,-0.151,自律,综合偏差
pjxsqxbj906,0.927,-0.123,自律,综合偏差
pjxsqxbj909,0.93,-0.045,自律,综合偏差
pjxsqxbj912,1.0,0.053,自律,综合偏差
pjxsqxbj916,1.0,0.058,自律,综合偏差
pjxsqxbj918,0.974,-0.083,自律,综合偏差
pjxsqxbj920,1.0,0.091,自律,综合偏差
pjxsqxbj921,0.993,0.007,自律,综合偏差
pjxsqxbj922,1.0,0.04,自律,综合偏差
pjxsqxbj925,1.0,0.146,自律,行为轨迹发生显著漂移
pjxsqxbj927,1.0,0.073,自律,综合偏差
pjxsqxbj929,0.927,-0.063,自律,综合偏差
pjxsqxbj932,1.0,0.155,自律,行为轨迹发生显著漂移
pjxsqxbj934,1.0,0.138,自律,行为轨迹发生显著漂移
pjxsqxbj936,1.0,0.098,自律,综合偏差
pjxsqxbj938,1.0,0.087,自律,综合偏差
pjxsqxbj939,0.952,-0.122,自律,综合偏差
pjxsqxbj940,0.976,0.014,自律,综合偏差
pjxsqxbj941,0.925,-0.014,自律,综合偏差
pjxsqxbj944,0.936,0.004,自律,综合偏差
pjxsqxbj953,1.0,0.1,自律,综合偏差
pjxsqxbj971,0.93,-0.018,自律,综合偏差
pjxsqxbj976,0.864,0.101,规范,行为轨迹发生显著漂移
pjxsqxbj980,1.0,0.08,自律,综合偏差
pjxsqxbj981,1.0,0.105,自律,行为轨迹发生显著漂移
pjxsqxbj982,1.0,0.09,自律,综合偏差
pjxsqxbj983,0.916,-0.132,自律,综合偏差
pjxsqxbj984,0.923,-0.012,自律,综合偏差
pjxsqxbj985,0.947,-0.025,自律,综合偏差
pjxsqxbj986,1.0,0.152,自律,行为轨迹发生显著漂移
pjxsqxbj989,0.939,-0.077,自律,综合偏差
pjxsqxbj994,0.916,-0.048,自律,综合偏差
pjxsqxbj995,0.975,0.012,自律,综合偏差
pjxsqxbj996,1.0,0.148,自律,行为轨迹发生显著漂移
pjxsqxbj998,1.0,0.024,自律,综合偏差
pjxtztbj985,1.0,0.093,自律,综合偏差
pjxtztbj986,0.935,-0.076,自律,综合偏差
pjxtztbj987,0.923,-0.149,自律,综合偏差
pjxtztbj989,1.0,0.094,稳健,综合偏差
pjxtztbj996,0.892,0.091,规范,综合偏差
pjxtztbj997,0.998,0.035,自律,综合偏差
pjxtzxbj997,0.814,0.058,规范,综合偏差
pjxuqwbj445,0.947,0.013,自律,综合偏差
pjxuqwbj446,1.0,0.091,稳健,综合偏差
pjxuqwbj449,0.912,-0.032,稳健,综合偏差
pjxuqwbj450,1.0,0.11,自律,行为轨迹发生显著漂移
pjxuqwbj454,0.902,-0.115,稳健,综合偏差
pjxuqwbj460,0.927,-0.136,自律,综合偏差
pjxuqwbj461,1.0,0.051,稳健,综合偏差
pjxuqwbj463,0.911,-0.116,稳健,综合偏差
pjxuqwbj468,0.926,-0.045,自律,综合偏差
pjxuqwbj470,0.947,-0.04,自律,综合偏差
pjxuqwbj472,1.0,0.146,稳健,行为轨迹发生显著漂移
pjxuqwbj473,0.926,0.015,稳健,综合偏差
pjxuqwbj474,1.0,0.156,自律,行为轨迹发生显著漂移
pjxuqwbj476,1.0,0.093,稳健,综合偏差
pjxuqwbj477,0.958,0.016,自律,综合偏差
pjxuqwbj478,0.909,-0.112,自律,综合偏差
pjxuqwbj479,0.928,-0.014,自律,综合偏差
pjxuqwbj483,0.929,-0.063,自律,综合偏差
pjxuqwbj489,0.929,-0.083,自律,综合偏差
pjxuqwbj490,0.94,0.091,规范,综合偏差
pjxuqwbj491,1.0,0.108,稳健,行为轨迹发生显著漂移
pjxuqwbj492,0.934,-0.079,自律,综合偏差
pjxuqwbj496,0.839,-0.12,稳健,综合偏差
pjxuqwbj498,0.839,-0.014,稳健,综合偏差
pjxuqwbj499,1.0,0.135,稳健,行为轨迹发生显著漂移
pjxuqwbj500,0.939,-0.009,自律,综合偏差
pjxuqwbj503,1.0,0.039,自律,综合偏差
pjxuqwbj505,1.0,0.053,自律,综合偏差
pjxuqwbj507,0.925,-0.052,自律,综合偏差
pjxuqwbj508,0.926,-0.021,自律,综合偏差
pjxuqwbj511,0.9,-0.113,自律,综合偏差
pjxuqwbj512,1.0,0.105,自律,行为轨迹发生显著漂移
pjxuqwbj515,0.918,-0.093,稳健,综合偏差
pjxuqwbj516,1.0,0.077,自律,综合偏差
pjxuqwbj517,1.0,0.14,自律,行为轨迹发生显著漂移
pjxuqwbj519,0.922,-0.038,自律,综合偏差
pjxuqwbj525,1.0,0.111,自律,行为轨迹发生显著漂移
pjxuqwbj526,0.908,-0.042,稳健,综合偏差
pjxuqwbj527,0.926,-0.118,自律,综合偏差
pjxuqwbj528,1.0,0.042,自律,综合偏差
pjxuqwbj536,0.839,-0.139,稳健,综合偏差
pjxuqwbj537,0.981,0.024,自律,综合偏差
pjxuqwbj539,1.0,0.095,稳健,综合偏差
pjxuqwbj545,0.858,-0.02,稳健,综合偏差
pjxuqwbj546,0.933,-0.095,自律,综合偏差
pjxuqwbj547,0.838,0.006,稳健,综合偏差
pjxuqwbj551,0.974,0.022,自律,综合偏差
pjxuqwbj552,0.848,-0.118,稳健,综合偏差
pjxuqwbj558,0.979,-0.14,自律,综合偏差
pjxuqwbj559,0.894,-0.039,稳健,综合偏差
pjxuqwbj562,0.924,-0.037,自律,综合偏差
pjxuqwbj564,1.0,0.119,稳健,行为轨迹发生显著漂移
pjxuqwbj565,1.0,0.069,稳健,综合偏差
pjxuqwbj566,1.0,0.109,自律,行为轨迹发生显著漂移
pjxuqwbj568,0.963,0.035,稳健,综合偏差
pjxuqwbj571,0.977,0.038,稳健,综合偏差
pjxuqwbj572,1.0,0.052,稳健,综合偏差
pjxuqwbj573,0.939,-0.029,自律,综合偏差
pjxuqwbj574,0.926,-0.097,自律,综合偏差
pjxuqwbj580,1.0,0.081,稳健,综合偏差
pjxuqwbj581,1.0,0.14,稳健,行为轨迹发生显著漂移
pjxuqwbj582,1.0,0.056,自律,综合偏差
pjxuqwbj583,0.937,0.096,规范,综合偏差
pjxuqwbj584,0.829,-0.082,稳健,综合偏差
pjxuqwbj585,1.0,0.085,自律,综合偏差
pjxuqwbj588,1.0,0.044,自律,综合偏差
pjxuqwbj591,0.93,-0.128,自律,综合偏差
pjxuqwbj605,0.951,-0.059,自律,综合偏差
pjxuqwbj606,1.0,0.123,自律,行为轨迹发生显著漂移
pjxuqwbj608,0.925,-0.105,自律,综合偏差
pjxuqwbj609,0.962,0.018,自律,综合偏差
pjxuqwbj610,0.94,-0.124,自律,综合偏差
pjxuqwbj615,0.996,0.053,稳健,综合偏差
pjxuqwbj618,0.983,0.028,自律,综合偏差
pjxuqwbj619,1.0,0.099,自律,综合偏差
pjxuqwbj621,0.995,0.027,自律,综合偏差
pjxuqwbj622,0.925,-0.077,自律,综合偏差
pjxuqwbj624,0.897,-0.148,稳健,综合偏差
pjxuqwbj631,0.99,0.006,自律,综合偏差
pjxuqwbj632,1.0,0.153,自律,行为轨迹发生显著漂移
pjxuqwbj634,0.835,-0.003,稳健,综合偏差
pjxuqwbj642,0.829,-0.022,稳健,综合偏差
pjxuqwbj643,0.826,-0.009,稳健,综合偏差
pjxuqwbj644,0.933,-0.073,自律,综合偏差
pjxuqwbj647,0.894,-0.124,稳健,综合偏差
pjxuqwbj648,0.949,0.025,稳健,综合偏差
pjxuqwbj650,0.899,-0.047,稳健,综合偏差
pjxuqwbj651,0.946,-0.038,自律,综合偏差
pjxuqwbj654,0.926,-0.098,自律,综合偏差
